gene;log2FC;pvalue;ATAC score (pi-value)
MAML2;-0.622961057;0.008924412;-1.27670909145773
MAML3;-0.534288795;0.015668756;-0.964372832605049
MAMLD1;-0.128483388;0.546967775;-0.0336675633899189
MAMSTR;-0.5917731;0.059418613;-0.725559677148802
MAN1A1;0.510637069;0.001398274;1.45756639069602
MAN1A2;0.668926629;0.020832255;1.12464207069941
MAN1B1;-0.345407663;0.004846357;-0.799475256581079
MAN1B1-AS1;-0.345407663;0.004846357;-0.799475256581079
MAN1B1-DT;0.033939848;0.678728761;0.00571220360030717
MAN1C1;0.413148236;0.015353123;0.749369621765182
MAN2A1;-0.609963699;0.040698972;-0.848103628281775
MAN2A2;0.286666843;0.014793405;0.524580787169816
MAN2B1;0.451813127;0.003181374;1.12835144931448
MAN2B2;0.449622484;0.054584201;0.567843091688261
MAN2C1;-0.572468059;0.006046346;-1.27002439851491
MANBA;0.415625728;0.044019265;0.563736954180525
MANBAL;0.276661709;0.015612338;0.499798245702756
MANEA;-0.780980371;0.018862259;-1.3467274688755
MANEA-AS1;-0.780980371;0.018862259;-1.3467274688755
MANEA-DT;-0.308616532;0.102407779;-0.305427613624301
MANEAL;-0.237217657;0.048952794;-0.310807915305164
MANF;0.191354928;0.0570105;0.238054170122324
MANSC1;-1.029935936;0.001393974;-2.9412347358239
MANSC4;-0.293538632;0.128377227;-0.261693215676326
MAOA;-0.672425123;0.002838904;-1.71256544928972
MAP10;0.474755415;0.033848122;0.698111421821793
MAP1A;0.288541193;0.050579661;0.373956335859972
MAP1B;0.428558155;0.004551038;1.00363585971805
MAP1LC3A;0.019769066;0.980166452;0.000171994157774898
MAP1LC3B;-0.43326948;0.009716583;-0.871948951282624
MAP1LC3B2;-0.460499281;0.013370999;-0.862900196873916
MAP1LC3C;-0.137297433;0.646989152;-0.0259633566154958
MAP1S;0.507657822;0.01482754;0.928471075101745
MAP2;-0.318004346;0.009500796;-0.643081110858659
